Regulating TF,Regulated Operon
AcrR,acrAB
Ada,ada-alkB
Ada,aidB
Ada,alkA
AdiY,adiA
AlpA,slp
AppY,appCBA
AraC,araBAD
AraC,araC
AraC,araE
AraC,araFG-araH_1H_2
AraC,araJ
ArcA,aceBAK
ArcA,appCBA
ArcA,appY
ArcA,betIBA
ArcA,cydAB
ArcA,cyoABCDE
ArcA,dctA
ArcA,fadBA
ArcA,focA-pflB
ArcA,fumA
ArcA,fumC
ArcA,glcDEFGB
ArcA,glpACB
ArcA,gltA
ArcA,icdA
ArcA,lctPRD
ArcA,mdh
ArcA,nuoABCEFGHIJKLMN
ArcA,sdhCDAB-b0725-sucABCD
ArcA,sodA
ArgR,argCBH
ArgR,argD
ArgR,argE
ArgR,argF
ArgR,argI
ArgR,argR
ArgR,carAB
ArsR,arsEFG
AsnC,asnA
AsnC,asnC
AtoC,atoDAB
AtoC,atoDAE
BetI,betIBA
BetI,betT
BirA,bioA
BirA,bioBFCD
CadC,cadBA
CaiF,caiTABCDE
CaiF,fixABCX
Cbl,ssuEADCB
Cbl,tauABCD
CpxR,cpxAR
CpxR,cpxP
CpxR,dsbA
CpxR,ecfI
CpxR,htrA
CpxR,motABcheAW
CpxR,rotA
CpxR,skp-lpxDA-fabZ
CpxR,tsr
CpxR,xprB-dsbC-recJ
CRP,acs
CRP,aldB
CRP,ansB
CRP,araBAD
CRP,araC
CRP,araE
CRP,araFG-araH_1H_2
CRP,araJ
CRP,caiF
CRP,caiTABCDE
CRP,cirA
CRP,cpdB
CRP,crp
CRP,cyaA
CRP,dadAX
CRP,dctA
CRP,dcuB-fumB
CRP,deoCABD
CRP,dsdXA
CRP,ebgAC
CRP,epd-pgk
CRP,fadL
CRP,fixABCX
CRP,flhDC
CRP,focA-pflB
CRP,fucAO
CRP,fucPIKUR
CRP,fur
CRP,galETKM
CRP,galS
CRP,glgCAP
CRP,glgS
CRP,glnALG
CRP,glpACB
CRP,glpD
CRP,glpFK
CRP,glpTQ
CRP,gltA
CRP,gntKU
CRP,gntT
CRP,ivbL-ilvBN
CRP,lacZYA
CRP,malEFG
CRP,malI
CRP,malK-lamB-malM
CRP,malS
CRP,malT
CRP,malXY
CRP,manXYZ
CRP,melAB
CRP,melR
CRP,mglBAC
CRP,nagBACD
CRP,nagE
CRP,nupG
CRP,ompA
